,alpha,beta,delta,gamma,e,f,h
0,0.14285714285714934,0.14285714285714207,0.14285714285714207,0.14285714285714568,0.14285714285714024,0.14285714285714207,0.14285714285713844
1,0.16591367466535586,0.16591367466534818,0.1659136746653519,0.1659136746653561,0.16591367466534596,0.02115222985513965,0.1659136746653438
2,0.002426834960232275,0.19872366457646662,0.19872366457647042,0.19872366457647547,0.19872366457646404,0.018515851918850388,0.19872366457646154
3,0.0020832205187696577,0.24810967026999733,0.24810967027000136,0.24810967027000752,0.0020832205187788105,0.01589420099510543,0.2481096702699912
4,0.001745398771567043,0.3306398167105371,0.3306398167105413,0.0017453987715682568,0.0017453987715767426,0.013316746183110767,0.33063981671052917
5,0.0018851578131195703,0.4956362087659062,0.49563620876591163,0.0018851578131220026,0.0018851578131322216,0.012491445901307381,6.452193130840437e-06
6,0.001561526034157486,0.9912091867706024,0.0015615260341775125,0.001561526034160619,0.0015615260341737952,0.010346994741485387,5.3445220772138e-06
7,0.15083798882451643,0.15083798882527868,0.15083798882886904,0.15083798882519742,0.15083798882806584,0.9994837377387711,0.000516262261228837
8,0.21597650423847742,0.21597650423920975,5.4388331745407595e-05,5.4388331910768043e-05,0.2159765042420049,0.9996394255038669,0.00036057449613320283
9,3.226928332213675e-05,0.3802322308295397,3.489660816781771e-05,3.5724495793164755e-05,3.186939625096683e-05,0.9997951637444286,0.00020514244888444072
10,2.818441053149104e-05,2.026841928733992e-05,5.689538375270184e-05,6.412106198451553e-05,2.6004280884176216e-05,0.999873058801943,0.00012919570123624073
11,1.4023336417443378e-05,1.0648142462778728e-05,1.7461124065199467e-05,1.865300969914752e-05,1.0633683022657294e-05,0.9999376754482049,6.815537602054538e-05
12,1.7961859516991807e-05,3.041851244078421e-05,0.0001346138777322024,0.00016042522933462611,1.666312700367623e-05,0.9999016663713379,0.00012842917184824475
13,1.3178295815996007e-23,3.136249250354788e-05,3.136249248230818e-05,8.833566770540765e-24,5.257662754786597e-24,0.9998861657679385,0.00011383423206164684
14,1.344228637630207e-23,5.446400032628522e-24,5.974852995807271e-05,8.971715934505231e-24,4.792189909089906e-24,0.9998428834952021,0.00015711650479796914
15,1.3671046991550823e-23,5.7668830683513066e-24,7.63261532276887e-24,8.79911548341962e-24,4.4582553438067525e-24,0.9997464955355044,0.0002535044644955899
16,1.3614469324807776e-23,5.806455169013433e-24,7.925538703062189e-24,8.598464075140725e-24,4.552681742594702e-24,0.9994837377387704,0.0005162622612295635
