,alpha,beta,delta,gamma
0,0.17092243818695688,0.14903554514633674,0.21030340352548182,0.15224202851170934
1,8.332269846494314e-08,2.617924969095813e-07,2.754235396105434e-07,3.1793394626626323e-07
2,1.0076519750817002e-07,2.7064725537137387e-07,2.47699295159445e-07,1.3554875140696666e-07
3,1.7372449465872633e-08,4.2576608294060774e-09,3.386224792016293e-10,5.5537881305306896e-09
4,7.424771236878699e-08,8.301615674972346e-09,1.049847548719626e-08,1.8105989700144368e-08
5,1.2860318450861211e-10,7.620333103062724e-09,3.287587859779695e-10,7.512127631465455e-09
6,9.333908380250371e-11,7.424638095270852e-11,1.833644268592293e-10,4.985313768573969e-11
7,0.13379462946767506,0.008792058108600287,0.3994660248878861,0.016089812949989114
